gun_id,confidence,pen_0m,pen_250m,pen_500m,pen_750m,pen_1000m,pen_1250m,pen_1500m,pen_1750m,pen_2000m,pen_2500m
pziv_75l48_apcbc,fitted,137.8,128.4,119.6,111.4,103.7,96.6,90.0,83.8,78.0,67.7
tiger_88_apcbc,fitted,151.9,144.5,137.4,130.6,124.2,118.1,112.3,106.7,101.5,91.8
pziii_50l60_apcbc,fitted,90.4,79.0,69.0,60.3,52.7,46.0,40.2,35.1,30.7,23.4
t34_76_f34_apc,fitted,82.7,77.3,72.2,67.5,63.1,58.9,55.1,51.5,48.1,42.0
t3485_85_d5t_apc,fitted,136.0,127.7,119.8,112.5,105.6,99.1,93.0,87.3,81.9,72.1
sherman75_m61_apc,fitted,90.7,84.1,77.9,72.2,66.9,62.1,57.5,53.3,49.4,42.5
sherman76_m62_apc,fitted,127.1,122.2,117.5,112.9,108.6,104.4,100.4,96.5,92.8,85.8
t70_45l46_apbc,interpolated,86.3,71.6,59.3,49.2,40.8,33.8,28.0,23.2,19.3,13.2
panther_75l70_apcbc,fitted,179.4,168.7,158.6,149.1,140.2,131.8,124.0,116.6,109.6,96.9
